"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"25",1,1314,1178,1000,950,1313.99817537119,1178.114863152,1252.50844768065,40.7601749440727,999.9744056,950.06581655,974.6196640819,14.19848922502,"1_z071","1a","Less_Restrictive"
"35",2,1313.9,993.1,1000,20,1313.79839992116,993.280695954974,1118.96978638058,94.3256716731818,999.78678532,22.44925128,549.62161600278,269.501239575267,"1_z071","1a.1","Less_Restrictive"
"45",3,1313.8,988.5,20,0,1313.5655702779,988.6061535225,1051.93667363003,74.038451537999,19.99099728,0.04674732,10.14007124846,5.70693676338538,"1_z071","1a.2","Less_Restrictive"
"55",4,993.15,949.7,20,0,993.131385094541,949.755827048866,973.412564200336,13.0136257784579,19.96985496,0.0004881,10.3034856801,5.87992687397713,"1_z071","2a","Less_Restrictive"
"65",5,993,487.5,285,0,992.854843871211,487.973713485507,798.999468720884,149.022451666561,284.856057045,0.56090394,107.31426834597,65.2726304072668,"1_z071","2b","Less_Restrictive"
"75",6,992,487,40,0,990.048271710325,487.065008961331,679.958420981494,152.197370185013,39.957297,0.07172444,19.63646453408,11.1650557800274,"1_z071","2b.1","Less_Restrictive"
"85",7,497,485,40,0,496.994718116,485.006310692,490.831338569162,3.43269704809609,39.99182476,0.04201008,19.55889749016,11.6269765154171,"1_z071","3a","Less_Restrictive"
"95",8,496,201,100,70,495.44845738,201.189294592463,336.237303279553,83.7628419099143,99.99026713,70.02612319,86.6631062384801,8.583300140362,"1_z071","3b","Less_Restrictive"
"105",9,251,2.6,20,0,250.9510438376,2.6663953328,124.959471108784,71.6870412710195,19.97353894,0.01974504,10.03088434002,5.81855710785513,"1_z071","3b.1","Less_Restrictive"
"115",10,2.6,1e-06,20,0,2.59978760868169,0.002634003387306,1.28440475190497,0.76771752049143,19.93996616,0.03135346,10.02512767616,5.68969526140025,"1_z071","3c","Less_Restrictive"
"125",11,0,0,22,20,0,0,0,0,21.999077356,20.001228076,20.99366537841,0.560110437040106,"1_z071","3c*","Less_Restrictive"
"26",1,1314,1178,1000,950,1313.99951956811,1178.530221704,1265.71051536435,40.6069467830176,999.96949805,950.0006746,974.734891577251,14.8795667834224,"2_z003","1a","Less_Restrictive"
"36",2,1313.9,993.1,1000,20,1313.82733151482,993.932541546886,1183.84896235428,93.6010507556475,999.74131332,22.32905232,514.085190312141,276.52486875694,"2_z003","1a.1","Less_Restrictive"
"46",3,1313.8,988.5,20,0,1313.6227628974,988.524519845907,1108.16872509901,94.9914838000581,19.98756686,0.01948642,9.86179807108,5.87789531615887,"2_z003","1a.2","Less_Restrictive"
"56",4,993.15,949.7,20,0,993.09865648195,949.7462627792,971.553973968619,12.6011590315332,19.9942825,0.0715381,10.00417776334,5.87258647838034,"2_z003","2a","Less_Restrictive"
"66",5,993,487.5,285,0,992.286776084066,489.377413081986,856.892946990875,84.8180153573596,284.736075465,137.640153495,215.30446720707,37.5732628687751,"2_z003","2b","Less_Restrictive"
"76",6,992,487,40,0,856.250431561419,487.153591602711,694.862883515147,101.946736875462,39.91370608,0.05185244,20.15255683616,11.635731022237,"2_z003","2b.1","Less_Restrictive"
"86",7,497,485,40,0,496.999546868,485.001570584,491.173550071628,3.52846711593189,39.87173588,0.05001996,19.30964068764,11.5624828020423,"2_z003","3a","Less_Restrictive"
"96",8,496,201,100,70,495.95794716,201.047570385538,350.869722892819,85.278849035852,99.98137129,70.03464988,85.06547563582,8.92193583428676,"2_z003","3b","Less_Restrictive"
"106",9,251,2.6,20,0,250.9024883444,2.6033904116,129.163351665968,71.7294819585043,19.9714447,0.02471134,9.98108465908,5.71368092759693,"2_z003","3b.1","Less_Restrictive"
"116",10,2.6,1e-06,20,0,2.59567067926512,0.000989839419677,1.27251373543524,0.749566827739371,19.9042777,0.01416226,10.08807850132,5.92975715542453,"2_z003","3c","Less_Restrictive"
"126",11,0,0,22,20,0,0,0,0,21.999100976,20.001934784,21.041570139808,0.571837115347823,"2_z003","3c*","Less_Restrictive"
"27",1,1314,1178,1000,950,1314.01952724306,1178.19406792,1257.04509375061,40.8059339409303,999.97574635,950.00133655,974.6205882607,14.666186450795,"2_z070","1a","Less_Restrictive"
"37",2,1313.9,993.1,1000,20,1313.89110498975,993.244623003339,1153.91288947476,94.0931184081548,994.39635118,21.46327818,513.58527542576,282.385555610001,"2_z070","1a.1","Less_Restrictive"
"47",3,1313.8,988.5,20,0,1313.757597145,988.510517603154,1085.87550282225,86.4943138748012,19.98605974,0.03226446,9.93647891605998,5.80645549775742,"2_z070","1a.2","Less_Restrictive"
"57",4,993.15,949.7,20,0,993.1286615312,949.70586492445,971.188652247011,12.6312234338924,19.98450952,0.02184048,10.04402688406,5.74400701469403,"2_z070","2a","Less_Restrictive"
"67",5,993,487.5,285,0,992.851747852127,488.186327388094,699.154949322788,80.3390296817717,284.915019555,171.72589101,237.410561096415,29.2150037043226,"2_z070","2b","Less_Restrictive"
"77",6,992,487,40,0,677.06724302137,487.086882203475,573.578258027576,50.5571060851306,39.99596964,0.01043616,19.65326930148,11.2924376314518,"2_z070","2b.1","Less_Restrictive"
"87",7,497,485,40,0,496.98284768,485.00010135381,490.769854111333,3.4748296377197,39.97741644,0.02558844,19.74951783916,11.7259185324084,"2_z070","3a","Less_Restrictive"
"97",8,496,201,100,70,495.58994882,201.34032824238,346.973694235657,83.2424549335357,99.99953353,70.02917278,84.6313841917299,8.61416483787782,"2_z070","3b","Less_Restrictive"
"107",9,251,2.6,20,0,250.6936077908,2.785962176,127.31644108514,72.2712596526507,19.97891772,0.03225144,9.95106708698,5.71803703774702,"2_z070","3b.1","Less_Restrictive"
"117",10,2.6,1e-06,20,0,2.59993752462403,0.000980271423357,1.24607189027958,0.766015139939326,19.99893952,0.01014742,10.17993689016,5.85389608108858,"2_z070","3c","Less_Restrictive"
"127",11,0,0,22,20,0,0,0,0,21.994812436,20.005935084,21.0200420668,0.561376332239908,"2_z070","3c*","Less_Restrictive"
"28",1,1314,1178,1000,950,1313.994184912,1178.02203608,1252.89215308544,40.4094487489582,999.9934755,950.0600926,974.742263804849,14.7302847414117,"1_z031","1a","Less_Restrictive"
"38",2,1313.9,993.1,1000,20,1313.703712094,993.359074968451,1108.06097843154,96.9992611041773,996.41859196,23.17307732,575.820907048681,268.477345813593,"1_z031","1a.1","Less_Restrictive"
"48",3,1313.8,988.5,20,0,1307.6931079676,988.558698612794,1046.23801634906,77.1946561780384,19.9759612,0.00079678,10.46111662664,5.82255319398758,"1_z031","1a.2","Less_Restrictive"
